ID,GitHub Issue,user or dev,failure type,output subcategory,cosmetic subcategory
2,https://github.com/zwieback/FamilyFinance/issues/1,USER,crash,,
7,https://github.com/vbier/habpanelviewer/issues/25,USER,crash,,
8,https://github.com/koelleChristian/trickytripper/issues/42,USER,crash,,
10,https://github.com/zhanghai/MaterialFiles/issues/184,USER,output,missing function,
11,https://github.com/gauravjot/android-noad-music-player/issues/1,USER,crash,,
18,https://github.com/citiususc/calendula/issues/134,USER,crash,,
19,https://github.com/streetcomplete/StreetComplete/issues/1093,USER,cosmetic,,cursor
21,https://github.com/netmackan/ATimeTracker/issues/121,USER,navigation,,
22,https://github.com/netmackan/ATimeTracker/issues/124,USER,cosmetic,,useability
23,https://github.com/SecUSo/privacy-friendly-weather/issues/61,USER,crash,,
27,https://github.com/fossasia/phimpme-android/issues/1837,USER,cosmetic,,orientation
35,https://github.com/ccrama/Slide/issues/2773,USER,output,missing function,
43,https://github.com/federicoiosue/Omni-Notes/issues/592,USER,crash,,
44,https://github.com/federicoiosue/Omni-Notes/issues/634,USER,output,incorrect output,
45,https://github.com/federicoiosue/Omni-Notes/issues/764,USER,output,missing function,
50,https://github.com/asuc-octo/berkeley-mobile-android/issues/82,USER,crash,,
51,https://github.com/alexstyl/Memento-Calendar/issues/168,USER,cosmetic,,image
53,https://github.com/gsantner/markor/issues/1020,USER,cosmetic,,text
54,https://github.com/gsantner/markor/issues/331,USER,output,missing function,
55,https://github.com/PhenoApps/Field-Book/issues/131,USER,cosmetic,,cut content
56,https://github.com/PhenoApps/Field-Book/issues/137,USER,output,missing function,
62,https://github.com/Swati4star/Images-to-PDF/issues/85,USER,output,incorrect output,
71,https://github.com/Neamar/KISS/issues/1481,USER,output,missing function,
73,https://github.com/AntennaPod/AntennaPod/issues/2992,USER,output,missing function,
76,https://web.archive.org/web/20200921050834/https://github.com/trebleshot/android/issues/79,USER,output,incorrect output,
77,https://github.com/CypherpunkArmory/UserLAnd/issues/753,USER,output,missing function,
84,https://github.com/ultrasonic/ultrasonic/issues/187,USER,crash,,
87,https://github.com/ultrasonic/ultrasonic/issues/203,USER,crash,,
89,https://github.com/VREMSoftwareDevelopment/WiFiAnalyzer/issues/164,USER,crash,,
91,https://github.com/VREMSoftwareDevelopment/WiFiAnalyzer/issues/191,USER,output,missing function,
92,https://github.com/VREMSoftwareDevelopment/WiFiAnalyzer/issues/222,USER,output,incorrect output,
96,https://github.com/barbeau/gpstest/issues/404,USER,output,incorrect output,
97,https://github.com/osmdroid/osmdroid/issues/1030,USER,crash,,
101,https://github.com/osmdroid/osmdroid/issues/999,USER,cosmetic,,missing elements
106,https://github.com/AdrienPoupa/VinylMusicPlayer/issues/139,USER,output,missing function,
107,https://github.com/AdrienPoupa/VinylMusicPlayer/issues/149,USER,output,incorrect output,
110,https://github.com/AdrienPoupa/VinylMusicPlayer/issues/311,USER,output,incorrect output,
117,https://github.com/openfoodfacts/openfoodfacts-androidapp/issues/2087,USER,cosmetic,,placement
121,https://github.com/Automattic/simplenote-android/issues/1046,USER,cosmetic,,placement
122,https://github.com/Automattic/simplenote-android/issues/613,USER,cosmetic,,color
123,https://github.com/Automattic/simplenote-android/issues/615,USER,cosmetic,,text
125,https://github.com/Automattic/simplenote-android/issues/641,USER,cosmetic,,color
128,https://github.com/andOTP/andOTP/issues/567,USER,output,incorrect output,
129,https://github.com/andOTP/andOTP/issues/500,USER,crash,,
130,https://github.com/andOTP/andOTP/issues/486,USER,cosmetic,,text
132,https://github.com/commons-app/apps-android-commons/issues/1697,USER,cosmetic,,useability
135,https://github.com/commons-app/apps-android-commons/issues/2088,USER,navigation,,
137,https://github.com/kiwix/kiwix-android/issues/1414,USER,crash,,
139,https://github.com/kiwix/kiwix-android/issues/555,USER,cosmetic,,cut content
142,https://github.com/moezbhatti/qksms/issues/1124,USER,output,missing function,
144,https://github.com/moezbhatti/qksms/issues/1155,USER,output,incorrect output,
145,https://github.com/moezbhatti/qksms/issues/1179,USER,cosmetic,,color
151,https://github.com/beemdevelopment/Aegis/issues/200,USER,output,missing function,
152,https://github.com/beemdevelopment/Aegis/issues/287,USER,output,missing function,
155,https://github.com/beemdevelopment/Aegis/issues/473,USER,cosmetic,,text
157,https://github.com/ankidroid/Anki-Android/issues/5753,USER,output,incorrect output,
158,https://github.com/ankidroid/Anki-Android/issues/5127,USER,cosmetic,,color
159,https://github.com/ankidroid/Anki-Android/issues/6432,USER,crash,,
160,https://github.com/ankidroid/Anki-Android/issues/6119,USER,cosmetic,,color
162,https://github.com/k9mail/k-9/issues/3255,USER,crash,,
164,https://github.com/k9mail/k-9/issues/3971,USER,navigation,,
165,https://github.com/k9mail/k-9/issues/4435,USER,output,incorrect output,
168,https://github.com/cgeo/cgeo/issues/7369,USER,crash,,
174,https://github.com/mozilla-mobile/focus-android/issues/2499,USER,crash,,
178,https://github.com/SecUSo/privacy-friendly-pedometer/issues/28,USER,crash,,
188,https://github.com/hidroh/materialistic/issues/565,USER,cosmetic,,image
191,https://github.com/reloZid/android-anuto/issues/68,USER,output,incorrect output,
192,https://github.com/gsantner/markor/issues/162,USER,cosmetic,,cursor
193,https://github.com/alexstyl/Memento-Calendar/issues/7,USER,cosmetic,,useability
198,https://github.com/y20k/transistor/issues/149,USER,crash,,
199,https://github.com/inaturalist/iNaturalistAndroid/issues/219,USER,output,missing function,
200,https://github.com/inaturalist/iNaturalistAndroid/issues/237,USER,cosmetic,,image
201,https://github.com/inaturalist/iNaturalistAndroid/issues/302,USER,cosmetic,,missing elements
205,https://github.com/mozilla-mobile/focus-android/issues/4102,USER,navigation,,
206,https://github.com/codinguser/gnucash-android/issues/615,USER,cosmetic,,text
208,https://github.com/codinguser/gnucash-android/issues/633,USER,crash,,
209,https://github.com/codinguser/gnucash-android/issues/689,USER,navigation,,
217,https://github.com/mozilla-mobile/focus-android/issues/3287,USER,cosmetic,,orientation
227,https://github.com/codinguser/gnucash-android/issues/723,USER,output,incorrect output,
228,https://github.com/codinguser/gnucash-android/issues/731,USER,cosmetic,,text
248,https://github.com/getodk/collect/issues/2958,USER,output,missing function,
250,https://github.com/moezbhatti/qksms/issues/612,USER,cosmetic,,missing elements
253,https://github.com/mozilla-mobile/focus-android/issues/3932,USER,crash,,
256,https://github.com/codinguser/gnucash-android/issues/654,USER,crash,,
266,https://github.com/mozilla-mobile/focus-android/issues/3892,USER,output,incorrect output,
271,https://github.com/beemdevelopment/Aegis/issues/500,USER,crash,,
272,https://github.com/mozilla-mobile/focus-android/issues/3297,USER,cosmetic,,text
273,https://github.com/ankidroid/Anki-Android/issues/5688,USER,navigation,,
274,https://github.com/mozilla-mobile/focus-android/issues/2730,USER,output,incorrect output,
