ID,GitHub Issue,"S2R Type (Image, Annotated Image, Text, Recording)","OB Type (Image, Annotated Image, Text, Recording)","Context Type (Image, Annotated Image, Text, Recording)","Context Content (phone type, app version, os, etc)"
2,https://github.com/zwieback/FamilyFinance/issues/1,"['text', 'recording']","['logcat', 'text', 'recording']",['text'],"['os', 'phone type']"
7,https://github.com/vbier/habpanelviewer/issues/25,['text'],['text'],['text'],"['os', 'phone type']"
8,https://github.com/koelleChristian/trickytripper/issues/42,['text'],['logcat'],['text'],"['app version', 'os', 'phone type']"
10,https://github.com/zhanghai/MaterialFiles/issues/184,['text'],['text'],['text'],"['app version', 'installer', 'kernel', 'os', 'phone type']"
11,https://github.com/gauravjot/android-noad-music-player/issues/1,"['text', 'recording']","['logcat', 'text', 'recording']",['text'],"['app version', 'os', 'phone type']"
18,https://github.com/citiususc/calendula/issues/134,['text'],"['logcat', 'text']",['text'],['app version']
19,https://github.com/streetcomplete/StreetComplete/issues/1093,['text'],['text'],['text'],"['app version', 'os']"
21,https://github.com/netmackan/ATimeTracker/issues/121,['text'],['text'],['text'],"['app version', 'os', 'phone type']"
22,https://github.com/netmackan/ATimeTracker/issues/124,['text'],['text'],['text'],"['os', 'phone type']"
23,https://github.com/SecUSo/privacy-friendly-weather/issues/61,"['text', 'recording']","['text', 'recording']",['text'],"['app version', 'os', 'phone type']"
27,https://github.com/fossasia/phimpme-android/issues/1837,['text'],"['annotated image', 'text']",['none'],['none']
35,https://github.com/ccrama/Slide/issues/2773,['text'],['text'],['text'],"['app version', 'os']"
43,https://github.com/federicoiosue/Omni-Notes/issues/592,['text'],['text'],['text'],"['app version', 'os', 'phone type']"
44,https://github.com/federicoiosue/Omni-Notes/issues/634,"['image', 'text']","['image', 'text']",['text'],"['app version', 'os', 'phone type']"
45,https://github.com/federicoiosue/Omni-Notes/issues/764,"['text', 'recording']","['text', 'recording']",['text'],"['app version', 'os', 'phone type']"
50,https://github.com/asuc-octo/berkeley-mobile-android/issues/82,['text'],['text'],['none'],['none']
51,https://github.com/alexstyl/Memento-Calendar/issues/168,"['text', 'recording']","['image', 'text', 'recording']",['text'],"['app version', 'os', 'phone type']"
53,https://github.com/gsantner/markor/issues/1020,['text'],"['image', 'text']",['text'],['app version']
54,https://github.com/gsantner/markor/issues/331,['text'],['text'],['text'],"['app version', 'os']"
55,https://github.com/PhenoApps/Field-Book/issues/131,['text'],"['image', 'text']",['text'],"['app version', 'os', 'phone type']"
56,https://github.com/PhenoApps/Field-Book/issues/137,['text'],['text'],['text'],"['app version', 'os', 'phone type']"
62,https://github.com/Swati4star/Images-to-PDF/issues/85,['text'],['text'],['none'],['none']
71,https://github.com/Neamar/KISS/issues/1481,['text'],['text'],['text'],"['app version', 'installer']"
73,https://github.com/AntennaPod/AntennaPod/issues/2992,['text'],"['image', 'text']",['text'],"['app version', 'installer', 'os', 'phone type']"
76,https://web.archive.org/web/20200921050834/https://github.com/trebleshot/android/issues/79,['text'],['text'],['text'],"['app version', 'installer', 'language', 'os', 'phone type']"
77,https://github.com/CypherpunkArmory/UserLAnd/issues/753,['text'],['text'],['text'],"['app version', 'os', 'phone type']"
84,https://github.com/ultrasonic/ultrasonic/issues/187,['text'],['logcat'],['text'],"['app version', 'os']"
87,https://github.com/ultrasonic/ultrasonic/issues/203,['text'],['text'],['text'],"['app version', 'os', 'phone type']"
89,https://github.com/VREMSoftwareDevelopment/WiFiAnalyzer/issues/164,['text'],['text'],['text'],"['app version', 'os', 'phone type']"
91,https://github.com/VREMSoftwareDevelopment/WiFiAnalyzer/issues/191,['text'],['text'],['none'],['none']
92,https://github.com/VREMSoftwareDevelopment/WiFiAnalyzer/issues/222,['text'],"['image', 'text']",['image'],"['app debug info', 'system information']"
96,https://github.com/barbeau/gpstest/issues/404,['text'],"['image', 'text']",['text'],"['os', 'phone type']"
97,https://github.com/osmdroid/osmdroid/issues/1030,"['text', 'recording']","['text', 'recording']",['text'],"['app version', 'os', 'phone type']"
101,https://github.com/osmdroid/osmdroid/issues/999,['text'],['text'],['text'],['os']
106,https://github.com/AdrienPoupa/VinylMusicPlayer/issues/139,['text'],['text'],['text'],"['ROM type', 'app version', 'os', 'phone type']"
107,https://github.com/AdrienPoupa/VinylMusicPlayer/issues/149,['text'],"['image', 'text']",['text'],"['ROM type', 'app version', 'os', 'phone type']"
110,https://github.com/AdrienPoupa/VinylMusicPlayer/issues/311,['text'],"['image', 'text']",['text'],"['ROM type', 'app version', 'installer', 'os', 'phone type']"
117,https://github.com/openfoodfacts/openfoodfacts-androidapp/issues/2087,"['recording', 'text']","['recording', 'text']",['text'],"['ROM type', 'os', 'phone type']"
121,https://github.com/Automattic/simplenote-android/issues/1046,['text'],"['annotated image', 'text']",['text'],"['app version', 'os', 'phone type']"
122,https://github.com/Automattic/simplenote-android/issues/613,['text'],"['annotated image', 'text']",['text'],"['app version', 'os']"
123,https://github.com/Automattic/simplenote-android/issues/615,['text'],"['image', 'text']",['text'],"['app version', 'os', 'phone type']"
125,https://github.com/Automattic/simplenote-android/issues/641,['text'],"['image', 'text']",['text'],"['app version', 'os']"
128,https://github.com/andOTP/andOTP/issues/567,['text'],['text'],['text'],"['app version', 'os']"
129,https://github.com/andOTP/andOTP/issues/500,['text'],"['logcat', 'text']",['text'],"['ROM type', 'app version', 'os']"
130,https://github.com/andOTP/andOTP/issues/486,['text'],['text'],['text'],"['ROM type', 'app version', 'installer', 'os']"
132,https://github.com/commons-app/apps-android-commons/issues/1697,['text'],"['image', 'text']",['text'],"['app version', 'os', 'phone type']"
135,https://github.com/commons-app/apps-android-commons/issues/2088,['text'],"['image', 'text']",['text'],"['app version', 'os', 'phone type']"
137,https://github.com/kiwix/kiwix-android/issues/1414,['text'],['text'],['text'],"['app version', 'os', 'phone type']"
139,https://github.com/kiwix/kiwix-android/issues/555,['text'],"['image', 'text']",['text'],"['app version', 'os', 'phone type']"
142,https://github.com/moezbhatti/qksms/issues/1124,['text'],['text'],['none'],['none']
144,https://github.com/moezbhatti/qksms/issues/1155,['text'],['text'],['none'],['none']
145,https://github.com/moezbhatti/qksms/issues/1179,['text'],['text'],['text'],"['app version', 'os', 'phone type']"
151,https://github.com/beemdevelopment/Aegis/issues/200,['text'],['text'],['text'],"['app version', 'encryption type', 'installer', 'os']"
152,https://github.com/beemdevelopment/Aegis/issues/287,['text'],"['image', 'text']",['text'],"['app version', 'encryption type', 'installer', 'os', 'phone type']"
155,https://github.com/beemdevelopment/Aegis/issues/473,['text'],['text'],['text'],"['app version', 'encryption type', 'installer', 'os', 'phone type']"
