ID,GitHub Issue,user or dev,"Type of additional info added (S2R, OB, context, EB)","value of additional info (number of S2Rs and whether they are setup steps or not, type of context, etc)","how is the information presented? (Image, text, annotated image, video, etc)",time between added info and issue open,time between added info and bug label,time between added info and dev comment,time between added info and close,time between added info and commit,additional notes,comment number,"Type of additional info added (S2R, OB, context, EB).1","value of additional info (number of S2Rs and whether they are setup steps or not, type of context, etc).1","how is the information presented? (Image, text, annotated image, video, etc).1",time between added info and issue open.1,time between added info and bug label.1,time between added info and dev comment.1,time between added info and close.1,time between added info and commit.1,additional notes.1,comment number.1,"Type of additional info added (S2R, OB, context, EB).2","value of additional info (number of S2Rs and whether they are setup steps or not, type of context, etc).2","how is the information presented? (Image, text, annotated image, video, etc).2",time between added info and issue open.2,time between added info and bug label.2,time between added info and dev comment.2,time between added info and close.2,time between added info and commit.2,additional notes.2,comment number.2,Unique Comments with Added Info
2,https://github.com/zwieback/FamilyFinance/issues/1,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
7,https://github.com/vbier/habpanelviewer/issues/25,USER,OB,text,text,63:52:54,-30:30:57,63:37:34,-52:55:07,-36:20:00,"logcat file was made and sent to devs, but is not available on github",6,,,,,,,,,,,,,,,,,,,,,1
8,https://github.com/koelleChristian/trickytripper/issues/42,USER,S2R,"3 setup,3 bug",text,478:06:06,-781:55:28,416:08:56,-783:11:15,-762:15:00,,2,OB,image,image,478:06:06,-781:55:28,416:08:56,-783:11:15,-762:15:00,,2,,,,,,,,,,,1
10,https://github.com/zhanghai/MaterialFiles/issues/184,USER,S2R,1 bug,text,24:18:19,10:23:11,10:23:14,-7:07:10,19:59:00,,2,,,,,,,,,,,,,,,,,,,,,1
11,https://github.com/gauravjot/android-noad-music-player/issues/1,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
18,https://github.com/citiususc/calendula/issues/134,USER,context,"app version, phone type, os",text,168:02:13,86:48:00,-0:00:41,-10:11:24,-0:15:00,,1,,,,,,,,,,,,,,,,,,,,,1
19,https://github.com/streetcomplete/StreetComplete/issues/1093,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
21,https://github.com/netmackan/ATimeTracker/issues/121,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
22,https://github.com/netmackan/ATimeTracker/issues/124,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
23,https://github.com/SecUSo/privacy-friendly-weather/issues/61,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
27,https://github.com/fossasia/phimpme-android/issues/1837,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
35,https://github.com/ccrama/Slide/issues/2773,USER,S2R,1 setup,text,46:01:13,-1939:15:41,1:02:00,-6077:11:54,,,2,,,,,,,,,,,,,,,,,,,,,1
43,https://github.com/federicoiosue/Omni-Notes/issues/592,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
44,https://github.com/federicoiosue/Omni-Notes/issues/634,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
45,https://github.com/federicoiosue/Omni-Notes/issues/764,USER,S2R,1 setup,"['text','recording']",75:10:37,,0:25:07,-2684:59:33,-1742:33:00,"clarification, not additional step",2,context,"phone type, os",text,75:10:37,,0:25:07,-2684:59:33,-1742:33:00,provided info for 2 phones,2,,,,,,,,,,,1
50,https://github.com/asuc-octo/berkeley-mobile-android/issues/82,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
51,https://github.com/alexstyl/Memento-Calendar/issues/168,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
53,https://github.com/gsantner/markor/issues/1020,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
54,https://github.com/gsantner/markor/issues/331,USER,S2R,2 bug,text,25:11:01,-0:09:05,-0:00:43,-63:46:41,-40:47:00,alternative steps to reproduce,1,context,"phone type, os",text,25:11:01,-0:09:05,-0:00:43,-63:46:41,-40:47:00,different user than filer,1,,,,,,,,,,,1
55,https://github.com/PhenoApps/Field-Book/issues/131,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
56,https://github.com/PhenoApps/Field-Book/issues/137,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
62,https://github.com/Swati4star/Images-to-PDF/issues/85,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
71,https://github.com/Neamar/KISS/issues/1481,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
73,https://github.com/AntennaPod/AntennaPod/issues/2992,USER,context,"phone type, os",text,51:10:44,-13:36:19,-0:00:47,-1990:40:35,-1971:50:00,different user with the same issue,1,,,,,,,,,,,,,,,,,,,,,1
76,https://web.archive.org/web/20200921050834/https://github.com/trebleshot/android/issues/79,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
77,https://github.com/CypherpunkArmory/UserLAnd/issues/753,USER,OB,text,,11:07:13,-25:09:01,1:12:23,-30:15:45,-6:30:00,"there is additional discussion between the dev and user, but no additional info is provided",3,,,,,,,,,,,,,,,,,,,,,1
84,https://github.com/ultrasonic/ultrasonic/issues/187,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
87,https://github.com/ultrasonic/ultrasonic/issues/203,USER,S2R,4 setup,text,9:47:37,1:01:44,5:07:28,-596:42:36,-596:42:36,info was added after bug label,3,,,,,,,,,,,,,,,,,,,,,1
89,https://github.com/VREMSoftwareDevelopment/WiFiAnalyzer/issues/164,USER,context,"account info, phone type",text,23:13:49,-261:39:51,4:30:54,-432:57:36,,,2,context,phone type,text,122:09:49,-162:43:51,103:26:54,-334:01:36,,different user than filer,4,,,,,,,,,,,2
91,https://github.com/VREMSoftwareDevelopment/WiFiAnalyzer/issues/191,USER,context,"phone type, os",text,20:33:30,18:42:54,0:21:44,-17:36:55,-17:36:55,,2,,,,,,,,,,,,,,,,,,,,,1
92,https://github.com/VREMSoftwareDevelopment/WiFiAnalyzer/issues/222,USER,S2R,4 bug,text,205:35:43,176:37:51,200:30:38,-207:24:35,,main issue was edited to include,na,OB,image,image,183:58:43,155:00:51,178:53:38,-229:01:35,,main issue was edited to include,na,context,"phone type, os,",image,183:58:43,155:00:51,178:53:38,-229:01:35,,main issue was edited to include,na,1
96,https://github.com/barbeau/gpstest/issues/404,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
97,https://github.com/osmdroid/osmdroid/issues/1030,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
101,https://github.com/osmdroid/osmdroid/issues/999,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
106,https://github.com/AdrienPoupa/VinylMusicPlayer/issues/139,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
107,https://github.com/AdrienPoupa/VinylMusicPlayer/issues/149,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
110,https://github.com/AdrienPoupa/VinylMusicPlayer/issues/311,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
117,https://github.com/openfoodfacts/openfoodfacts-androidapp/issues/2087,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
121,https://github.com/Automattic/simplenote-android/issues/1046,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
122,https://github.com/Automattic/simplenote-android/issues/613,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
123,https://github.com/Automattic/simplenote-android/issues/615,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
125,https://github.com/Automattic/simplenote-android/issues/641,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
128,https://github.com/andOTP/andOTP/issues/567,USER,S2R,1 bug,text,0:03:15,0:01:28,0:00:45,-2893:59:05,-2893:59:05,,2,OB,text,text,0:08:15,0:06:28,0:05:45,-2893:54:05,-2893:54:05,,4,,,,,,,,,,,2
129,https://github.com/andOTP/andOTP/issues/500,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
130,https://github.com/andOTP/andOTP/issues/486,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
132,https://github.com/commons-app/apps-android-commons/issues/1697,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
135,https://github.com/commons-app/apps-android-commons/issues/2088,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
137,https://github.com/kiwix/kiwix-android/issues/1414,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
139,https://github.com/kiwix/kiwix-android/issues/555,USER,OB,"['image', 'text']","['image', 'text']",12:58:25,-0:03:27,1:11:40,-4230:33:20,,,2,,,,,,,,,,,,,,,,,,,,,1
142,https://github.com/moezbhatti/qksms/issues/1124,USER,context,app version,text,263:34:39,,11:02:35,-295:59:41,,,2,context,os,text,303:11:39,,50:39:35,-256:22:41,,,,,,,,,,,,,,1
144,https://github.com/moezbhatti/qksms/issues/1155,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
145,https://github.com/moezbhatti/qksms/issues/1179,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
151,https://github.com/beemdevelopment/Aegis/issues/200,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
152,https://github.com/beemdevelopment/Aegis/issues/287,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
155,https://github.com/beemdevelopment/Aegis/issues/473,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
157,https://github.com/ankidroid/Anki-Android/issues/5753,USER,context,"app version, os, account info",text,4:25:10,,0:21:28,-73:43:31,,,2,,,,,,,,,,,,,,,,,,,,,1
158,https://github.com/ankidroid/Anki-Android/issues/5127,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
159,https://github.com/ankidroid/Anki-Android/issues/6432,USER,OB,text,text,11:19:11,,11:18:30,-2:39:19,,,6,,,,,,,,,,,,,,,,,,,,,1
160,https://github.com/ankidroid/Anki-Android/issues/6119,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
162,https://github.com/k9mail/k-9/issues/3255,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
164,https://github.com/k9mail/k-9/issues/3971,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
165,https://github.com/k9mail/k-9/issues/4435,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
168,https://github.com/cgeo/cgeo/issues/7369,USER,OB,text,text,23:28:50,,0:59:29,-4607:28:48,,,2,,,,,,,,,,,,,,,,,,,,,1
174,https://github.com/mozilla-mobile/focus-android/issues/2499,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
178,https://github.com/SecUSo/privacy-friendly-pedometer/issues/28,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
188,https://github.com/hidroh/materialistic/issues/565,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
191,https://github.com/reloZid/android-anuto/issues/68,USER,context,"app version, os",text,9:32:11,-30:22:06,-0:00:42,-36:45:20,-36:45:20,different user,1,,,,,,,,,,,,,,,,,,,,,1
192,https://github.com/gsantner/markor/issues/162,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
